research_field_name,laboratory_count,laboratory_ids,department_names,laboratory_names,category_code,category_name,classification_basis,confidence,review_status
물리기반 인공지능,1,104,AI로봇학과,최희선 교수님 연구실,AI_ML,인공지능·기계학습,물리 지식을 결합한 AI 방법론,HIGH,APPROVED
물리적 AI(Embodied AI),1,22,컴퓨터공학과,Abolghasem Sadeghi-Niaraki 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,물리 환경과 상호작용하는 AI,HIGH,APPROVED
물리정보 신경망,1,99,AI로봇학과,강창호 교수님 연구실,AI_ML,인공지능·기계학습,물리 제약을 학습하는 신경망 방법론,HIGH,APPROVED
물성/표면결함 제어,1,129,반도체시스템공학과,CAI ZHICHENG 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,센서 나노소재 물성·결함 제어,HIGH,APPROVED
미디어 전송,1,175,지능정보융합학과,안성준 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,무선망 기반 미디어 통신,HIGH,APPROVED
미소공진기,1,49,AI융합전자공학과,문희종 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,레이저용 미세 광공진기,HIGH,APPROVED
미식최적화,1,146,인공지능데이터사이언스학과,박동현 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,정밀영양·건강 기반 식단 최적화,MEDIUM,APPROVED
및 지도 작성 설명 가능한 강화학습,1,99,AI로봇학과,강창호 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,영상·라이다 위치추정과 지도작성,MEDIUM,APPROVED
및 퍼지 시스템,1,106,AI로봇학과,Rizwan Ali NAQVI 교수님 연구실,AI_ML,인공지능·기계학습,원문이 잘렸지만 퍼지 지능시스템을 명시,MEDIUM,APPROVED
바이오/의료 인공지능,1,21,컴퓨터공학과,전은지 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,바이오·의료 특화 AI,HIGH,APPROVED
바이오로보틱스 생체 신호 인간-로봇 상호작용 웨어러블 로보틱스 원격 로봇 제어 시스템,1,63,AI융합전자공학과,경슬기 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,웨어러블·원격 바이오로봇 시스템,HIGH,APPROVED
바이오메카닉스,1,96,AI로봇학과,최호선 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,생체 역학·운동 분석,HIGH,APPROVED
바이오메카트로닉스,1,96,AI로봇학과,최호선 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,생체·기전 융합 시스템,HIGH,APPROVED
바이오센서,1,130,반도체시스템공학과,HILAL MUHAMMAD 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,생체 물질 검출 센서,HIGH,APPROVED
바이오신호처리,1,24,컴퓨터공학과,이수정 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,생체의학 신호 분석·처리,HIGH,APPROVED
바이오인공지능,1,140,인공지능데이터사이언스학과,전창재 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,생명·의료 분야 특화 AI,HIGH,APPROVED
반도체 공정,2,119|124,반도체시스템공학과,남태욱 교수님 연구실|엄태용 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 제조·원자층 공정,HIGH,APPROVED
반도체 소자 및 공정,1,114,반도체시스템공학과,김덕기 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 소자 제조 공정,HIGH,APPROVED
반도체 소자 및 소재 연구,1,124,반도체시스템공학과,남태욱 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 소자·재료 기술,HIGH,APPROVED
반도체 소재,1,119,반도체시스템공학과,엄태용 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 제조용 소재 연구,HIGH,APPROVED
반도체 패키징,1,118,반도체시스템공학과,김영우 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 칩 패키지 설계,HIGH,APPROVED
병렬 처리 등,1,68,AI융합전자공학과,이경근 교수님 연구실,SOFTWARE_COMPUTING,소프트웨어·컴퓨팅시스템,컴퓨팅 작업의 병렬 실행,MEDIUM,APPROVED
보건 정보학,1,157,인공지능데이터사이언스학과,Norma Latif Fitriyani 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,의료·보건 데이터 정보학,HIGH,APPROVED
보안공학,1,73,정보보호학과,김영갑 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,안전한 시스템 설계·검증,HIGH,APPROVED
보행자 및 차량 객체 인식,1,85,AI로봇학과,서재규 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,자율주행 환경의 객체 인지,HIGH,APPROVED
북한학,1,134,사이버국방학과,김덕영 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,국방 전략 맥락의 북한 연구,HIGH,APPROVED
분산 알고리즘 및 미들웨어,1,2,컴퓨터공학과,박태순 교수님 연구실,SOFTWARE_COMPUTING,소프트웨어·컴퓨팅시스템,분산 컴퓨팅 알고리즘·미들웨어,HIGH,APPROVED
분산/병렬 파일시스템 및 저장장치시스템,1,10,컴퓨터공학과,노재춘 교수님 연구실,SOFTWARE_COMPUTING,소프트웨어·컴퓨팅시스템,분산 스토리지·파일시스템,HIGH,APPROVED
분산학습,1,161,인공지능데이터사이언스학과,FARANAKSADAT SOLAT 교수님 연구실,AI_ML,인공지능·기계학습,분산 환경의 기계학습,HIGH,APPROVED
분석,2,43|78,정보보호학과|AI융합전자공학과,권오진 교수님 연구실|최창희 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,복수 연구실에 걸친 일반 분석 항목이므로 데이터 분석으로 정규화,MEDIUM,APPROVED
불확실성 정량화,1,104,AI로봇학과,최희선 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,동역학 모델 불확실성 평가,HIGH,APPROVED
불확실성 추정,1,24,컴퓨터공학과,이수정 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,범용 추정·불확실성 정량화 방법론,HIGH,APPROVED
블록체인,3,72|76|151,인공지능데이터사이언스학과|정보보호학과,송재승 교수님 연구실|이윤영 교수님 연구실|이종혁 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,암호 기반 분산원장 보안,HIGH,APPROVED
블록체인 기반 에너지 시스템,1,32,컴퓨터공학과,Lilia Tightiz 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,분산원장 기반 전력·에너지망,HIGH,APPROVED
블록체인 프라이버시,1,75,정보보호학과,이광수 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,블록체인 개인정보·암호 보호,HIGH,APPROVED
비디오 코딩,1,36,컴퓨터공학과,김도년 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,비디오 신호 압축·부호화,HIGH,APPROVED
비디오압축,1,82,AI로봇학과,이진영 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,비디오 데이터 압축 처리,HIGH,APPROVED
비선형광학 (nonlinear optics),1,188,양자지능정보학과,김한솔 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,비선형 광학 현상 연구,HIGH,APPROVED
비정형 데이터 어노테이션,1,147,인공지능데이터사이언스학과,김장겸 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,비정형 데이터 구축·관리,HIGH,APPROVED
빅데이터,3,16|18|23,컴퓨터공학과,장윤 교수님 연구실|LEE KANGWON 교수님 연구실|Mohammad Jalil Piran 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,대규모 데이터 분석 분야,HIGH,APPROVED
빅데이터 보안,1,73,정보보호학과,김영갑 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,빅데이터 보호가 핵심,HIGH,APPROVED
사물인터넷,5,15|28|72|83|165,정보보호학과|지능정보융합학과|컴퓨터공학과|AI로봇학과,김재호 교수님 연구실|김형석 교수님 연구실|박기호 교수님 연구실|송재승 교수님 연구실|DILSHAD NAQQASH 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,IoT 연결·네트워크 기술,HIGH,APPROVED
사물인터넷 보안,1,73,정보보호학과,김영갑 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,IoT 보안이 명시됨,HIGH,APPROVED
사물인터넷(IoT),1,23,컴퓨터공학과,Mohammad Jalil Piran 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,IoT 통신·연결 분야,HIGH,APPROVED
사용자 경험,1,149,인공지능데이터사이언스학과,하태현 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,사용자 경험 설계 연구,HIGH,APPROVED
사용자 경험(UX) 인공지능 머신러닝 딥러닝 자연어처리,1,153,인공지능데이터사이언스학과,Jamil HUSSAIN 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,UX가 대표 응용 맥락,MEDIUM,APPROVED
사이버 물리 시스템의 안전성 및 보안,1,93,AI로봇학과,이찬화 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,사이버물리시스템 보안 연구,HIGH,APPROVED
사이버 보안,1,23,컴퓨터공학과,Mohammad Jalil Piran 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,사이버보안 분야 명시,HIGH,APPROVED
사이버 지휘통제,1,78,정보보호학과,최창희 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,군사 사이버 지휘통제,HIGH,APPROVED
사이버보안,1,133,사이버국방학과,노동영 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,사이버보안 분야 명시,HIGH,APPROVED
사이버안보,1,80,정보보호학과,박종일 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,사이버 위협 대응·안보,HIGH,APPROVED
사이버전 개론 사이버전자기 스팩트럼전 사이버전과 물리전의 결합,1,135,사이버국방학과,최낙중 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,사이버·전자기 전쟁 연구,HIGH,APPROVED
사이버전자 기술,1,78,정보보호학과,최창희 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,사이버 공방·보안 기술 맥락,MEDIUM,APPROVED
산업 인공지능,1,147,인공지능데이터사이언스학과,김장겸 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,산업 현장 AI 응용,HIGH,APPROVED
산업 인공지능(AI),1,156,인공지능데이터사이언스학과,MUHAMMAD SYAFRUDIN 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,산업 분야 AI 응용,HIGH,APPROVED
산업 AI,1,151,인공지능데이터사이언스학과,이윤영 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,산업·금융 AI 응용,MEDIUM,APPROVED
산업인공지능,1,140,인공지능데이터사이언스학과,전창재 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,산업 응용 인공지능,HIGH,APPROVED
산화물 나노물질 및 박막 합성,1,113,반도체시스템공학과,박성훈 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,센서용 나노소재·박막,HIGH,APPROVED
상륙작전,1,138,국방AI로봇융합공학과,김태성 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,군사 상륙작전 연구,HIGH,APPROVED
상태 추정,1,108,AI로봇학과,Muhammad Umair ALI 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,시스템 상태 추정 방법론,HIGH,APPROVED
색역 사상,1,11,컴퓨터공학과,한동일 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상 색 재현 처리 기술,HIGH,APPROVED
생성모델,1,185,콘텐츠소프트웨어학과,백경준 교수님 연구실,AI_ML,인공지능·기계학습,생성형 기계학습 모델,HIGH,APPROVED
생성형AI,1,152,인공지능데이터사이언스학과,최교윤 교수님 연구실,AI_ML,인공지능·기계학습,생성형 인공지능 기술,HIGH,APPROVED
생의학 영상,1,110,AI로봇학과,Amad Zafar 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,생의학 영상 응용,HIGH,APPROVED
생체삽입형 전자소자,1,120,반도체시스템공학과,구자훈 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,인체 삽입 의료전자소자,HIGH,APPROVED
생체의학 신호 및 영상 처리,1,108,AI로봇학과,Muhammad Umair ALI 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,의생명 신호·영상 처리,HIGH,APPROVED
선박 제어 알고리즘,1,90,AI로봇학과,김세원 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,자율운항선박 제어 맥락,HIGH,APPROVED
선박 충돌회피,1,90,AI로봇학과,김세원 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,자율운항 충돌회피 기술,HIGH,APPROVED
선형 및 비선형 제어,1,105,AI로봇학과,MAI The Vu 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,일반 제어이론 분야,HIGH,APPROVED
설명 가능한 AI(XAI),1,155,인공지능데이터사이언스학과,알안타리무가헤드알리샤우퀴 교수님 연구실,AI_ML,인공지능·기계학습,설명가능 인공지능 방법론,HIGH,APPROVED
성능분석,1,76,정보보호학과,이종혁 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,프로토콜 성능분석 맥락,MEDIUM,APPROVED
성층권 HALE/HAPS,1,103,AI로봇학과,손찬규 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,고고도 무인항공 플랫폼,HIGH,APPROVED
센서 정보이론/ 보안,1,52,AI융합전자공학과,김아정 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,센서 정보 보호가 명시됨,HIGH,APPROVED
수중,1,112,AI로봇학과,김용훈 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,동일 연구실의 지상·공중 관성항법과 연결된 수중 자율이동체 문맥,MEDIUM,APPROVED
수중 차량 및 로봇,1,105,AI로봇학과,MAI The Vu 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,수중 로봇·차량 연구,HIGH,APPROVED
수중무인체 등 무인이동체 임베디드시스템 탐지인식 및 AI 의사결정시스템,1,86,AI로봇학과,송진우 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,무인이동체 자율판단 시스템,HIGH,APPROVED
수중음향,2,42|100,AI로봇학과|AI융합전자공학과,양해상 교수님 연구실|임준석 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,수중 음향신호 처리,HIGH,APPROVED
스마트 그리드,1,14,컴퓨터공학과,양효식 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,지능형 전력망 연구,HIGH,APPROVED
스마트 그리드 최적화,1,32,컴퓨터공학과,Lilia Tightiz 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,전력망 최적화 응용,HIGH,APPROVED
스마트 네트워크관리,1,68,AI융합전자공학과,이경근 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,통신망 관리 기술,HIGH,APPROVED
스마트 모빌리티,1,170,지능정보융합학과,신철규 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,지능형 모빌리티 응용,HIGH,APPROVED
스마트 시티,1,14,컴퓨터공학과,양효식 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,스마트 도시 인프라,HIGH,APPROVED
스마트 팩토리,1,18,컴퓨터공학과,LEE KANGWON 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,지능형 제조 시스템,HIGH,APPROVED
스마트시티,2,141|165,인공지능데이터사이언스학과|지능정보융합학과,김재호 교수님 연구실|최우석 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,도시 디지털 인프라,HIGH,APPROVED
시각언어모델,1,152,인공지능데이터사이언스학과,최교윤 교수님 연구실,AI_ML,인공지능·기계학습,시각·언어 멀티모달 AI 모델,HIGH,APPROVED
시각적 데이터 분석,1,16,컴퓨터공학과,장윤 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,데이터 시각 분석 분야,HIGH,APPROVED
시간 지연 시스템,1,172,지능정보융합학과,이석영 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,시간지연 제어시스템 이론,HIGH,APPROVED
시계열 로봇 센서 데이터 처리를 위한 AI,2,112|159,인공지능데이터사이언스학과|AI로봇학과,김용훈 교수님 연구실|Hussain Dildar 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,로봇 센서 AI 응용,HIGH,APPROVED
시계열 예측,1,97,AI로봇학과,류승형 교수님 연구실,AI_ML,인공지능·기계학습,학습 기반 시계열 예측,HIGH,APPROVED
시뮬레이션 대리모델링,1,104,AI로봇학과,최희선 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,시스템 대리모델링 방법론,HIGH,APPROVED
시스템 보안,1,74,정보보호학과,윤주범 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,컴퓨팅 시스템 보호,HIGH,APPROVED
시스템 신뢰성 및 가용성,1,2,컴퓨터공학과,박태순 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,시스템 신뢰성 분석,HIGH,APPROVED
시스템 제어,1,148,인공지능데이터사이언스학과,신승협 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,시스템 제어 방법론,HIGH,APPROVED
시스템보안,1,70,정보보호학과,박기웅 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,컴퓨팅 시스템 보안,HIGH,APPROVED
신뢰성·안전·인증,1,103,AI로봇학과,손찬규 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,항공시스템 안전·인증 맥락,MEDIUM,APPROVED
신뢰할 수 있는 인공지능(Trustworthy AI),1,169,지능정보융합학과,윤진희 교수님 연구실,AI_ML,인공지능·기계학습,신뢰가능 AI 방법론,HIGH,APPROVED
신재생 에너지,1,14,컴퓨터공학과,양효식 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,재생에너지 기술,HIGH,APPROVED
신호/전력 무결성,1,118,반도체시스템공학과,김영우 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 패키지 무결성,HIGH,APPROVED
신호처리,2,42|84,AI로봇학과|AI융합전자공학과,이병무 교수님 연구실|임준석 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,신호 분석·처리 분야,HIGH,APPROVED
신호처리 기반 딥러닝,1,155,인공지능데이터사이언스학과,알안타리무가헤드알리샤우퀴 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,신호처리 중심 딥러닝,HIGH,APPROVED
실시간 렌더링,1,12,컴퓨터공학과,박우찬 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,실시간 컴퓨터그래픽스 기술,HIGH,APPROVED
심층 강화 학습,1,155,인공지능데이터사이언스학과,알안타리무가헤드알리샤우퀴 교수님 연구실,AI_ML,인공지능·기계학습,강화학습 방법론,HIGH,APPROVED
심층 영상/라이다 위치추정 강화학습(XRL),1,99,AI로봇학과,강창호 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,로봇 위치추정·지도작성,HIGH,APPROVED
아날로그 및 혼성신호 집적회로 설계,1,121,반도체시스템공학과,정용운 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,혼성신호 IC 설계,HIGH,APPROVED
아날로그 VLSI 설계 혼성신호 IC 설계 FPD 구동,1,40,AI융합전자공학과,김준엽 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,VLSI·혼성신호 회로 설계,HIGH,APPROVED
아날로그&디지털 혼성회로 설계,1,122,반도체시스템공학과,구자현 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,혼성 집적회로 설계,HIGH,APPROVED
아연 이온 배터리(Zn-ion Battery),1,130,반도체시스템공학과,HILAL MUHAMMAD 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,전기화학 에너지 저장소자,HIGH,APPROVED
안티탬퍼링,1,78,정보보호학과,최창희 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,하드웨어 변조 방어 기술,HIGH,APPROVED
암호,2,133|183,사이버국방학과|콘텐츠소프트웨어학과,노동영 교수님 연구실|이은상 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,암호·정보보호 분야,HIGH,APPROVED
암호 프로토콜,1,75,정보보호학과,이광수 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,암호통신 프로토콜 연구,HIGH,APPROVED
암호학,2,71|75,정보보호학과,신지선 교수님 연구실|이광수 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,암호학 분야 명시,HIGH,APPROVED
양자 강화학습(QRL),1,142,인공지능데이터사이언스학과,구영현 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자 기반 강화학습 기술,HIGH,APPROVED
양자 광학 (quantum optics),1,191,양자지능정보학과,Teo Yong Siah 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자광학 연구,HIGH,APPROVED
양자 내성 암호,1,75,정보보호학과,이광수 교수님 연구실,SECURITY_CRYPTO,정보보안·암호,양자공격 대응 암호,HIGH,APPROVED
양자 정보 이론 (quantum information theory),2,190|191,양자지능정보학과,신성욱 교수님 연구실|Teo Yong Siah 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자정보 이론 연구,HIGH,APPROVED
양자 컴퓨팅 알고리즘 (quantum algorithm),1,190,양자지능정보학과,신성욱 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자컴퓨팅 알고리즘,HIGH,APPROVED
양자 토모그래피 (quantum tomography),1,191,양자지능정보학과,Teo Yong Siah 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자상태 재구성 기술,HIGH,APPROVED
양자 AI (quantum AI),1,190,양자지능정보학과,신성욱 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자 인공지능 기술,HIGH,APPROVED
양자광학 (quantum optics),1,188,양자지능정보학과,김한솔 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자광학 연구,HIGH,APPROVED
양자오류 완화 및 억제 기법 (quantum error mitigation and suppression),1,191,양자지능정보학과,Teo Yong Siah 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자컴퓨팅 오류 완화,HIGH,APPROVED
양자전송,1,56,AI융합전자공학과,김경염 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자정보 전송 기술,HIGH,APPROVED
"양자키분배 (quantum key Distribution, QKD)",1,189,양자지능정보학과,배성현 교수님 연구실,QUANTUM_TECH,양자정보·양자기술,양자키분배 기술,HIGH,APPROVED
에너지 시스템을 위한 QC 및 QML,1,32,컴퓨터공학과,Lilia Tightiz 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,에너지시스템 양자기술 응용,HIGH,APPROVED
에너지 인포메틱스,1,177,콘텐츠소프트웨어학과,백성욱 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,에너지 데이터·정보 응용,HIGH,APPROVED
에너지 ICT,1,147,인공지능데이터사이언스학과,김장겸 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,에너지 분야 ICT 응용,HIGH,APPROVED
에이전트 기반 분산 컴퓨팅,1,2,컴퓨터공학과,박태순 교수님 연구실,SOFTWARE_COMPUTING,소프트웨어·컴퓨팅시스템,분산 컴퓨팅 시스템,HIGH,APPROVED
에이전트 상황 추론,1,142,인공지능데이터사이언스학과,구영현 교수님 연구실,AI_ML,인공지능·기계학습,지능형 에이전트 추론,HIGH,APPROVED
에이전틱 AI,1,149,인공지능데이터사이언스학과,하태현 교수님 연구실,AI_ML,인공지능·기계학습,자율 에이전트 인공지능,HIGH,APPROVED
연합작전,1,138,국방AI로봇융합공학과,김태성 교수님 연구실,DEFENSE_MILITARY,국방·군사·안보,군사 연합작전 연구,HIGH,APPROVED
연합학습,1,161,인공지능데이터사이언스학과,FARANAKSADAT SOLAT 교수님 연구실,AI_ML,인공지능·기계학습,분산 기계학습 방법론,HIGH,APPROVED
영상 검색,1,6,컴퓨터공학과,김해광 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상 기반 검색 기술,HIGH,APPROVED
영상 압축 및 전송,1,45,AI융합전자공학과,문주희 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상 코딩·전송 기술,HIGH,APPROVED
영상 처리,1,45,AI융합전자공학과,문주희 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,디지털 영상처리 분야,HIGH,APPROVED
영상처리,3,7|82|101,컴퓨터공학과|AI로봇학과,이영렬 교수님 연구실|이진영 교수님 연구실|조재진 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상 분석·처리 분야,HIGH,APPROVED
영상처리 프로세서 설계,1,55,AI융합전자공학과,이성주 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,영상처리 전용 하드웨어 설계,HIGH,APPROVED
오디오 신호 처리,1,58,AI융합전자공학과,방희석 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,오디오 신호처리 분야,HIGH,APPROVED
워터마킹,1,43,AI융합전자공학과,권오진 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상 워터마킹 맥락,HIGH,APPROVED
"원자층 공정 (원자층 증착, 원자층 식각)",1,124,반도체시스템공학과,남태욱 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 원자층 공정,HIGH,APPROVED
웨어러블 센서 에너지 저장 및 변환 소자: 슈퍼커패시터,1,130,반도체시스템공학과,HILAL MUHAMMAD 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,슈퍼커패시터 에너지 저장,HIGH,APPROVED
웨어러블 전자소자,1,120,반도체시스템공학과,구자훈 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,착용형 전자소자,HIGH,APPROVED
위성통신,1,168,지능정보융합학과,정민채 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,위성 기반 통신기술,HIGH,APPROVED
유기 태양전지(Organic Solar Cell),1,130,반도체시스템공학과,HILAL MUHAMMAD 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,태양광 에너지 변환소자,HIGH,APPROVED
유무선 통신,1,44,AI융합전자공학과,김우식 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,유선·무선 통신기술,HIGH,APPROVED
유연 바이오전자소자,1,120,반도체시스템공학과,구자훈 교수님 연구실,BIOMED_HEALTH,바이오·의료·헬스케어,바이오 응용 유연전자소자,HIGH,APPROVED
유연 웨어러블 센서,1,34,컴퓨터공학과,Rajendra Dhakal 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,유연 착용형 센서소자,HIGH,APPROVED
유연/박막 센서 플랫폼,1,129,반도체시스템공학과,CAI ZHICHENG 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,박막 기반 센서소자,HIGH,APPROVED
융합 및 처리,1,43,AI융합전자공학과,권오진 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,영상 코딩·처리 맥락,MEDIUM,APPROVED
음성인식,1,176,콘텐츠소프트웨어학과,권순일 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,음성 신호 인식 기술,HIGH,APPROVED
음향신호처리,1,100,AI로봇학과,양해상 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,음향 신호처리 분야,HIGH,APPROVED
음향학,1,58,AI융합전자공학과,방희석 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,음향·오디오 신호 연구,HIGH,APPROVED
